sl,text,aspect,sentiment,Issues,Battery,External,Internal,Screen,Service,Software
27,"However , the multi-touch gestures and large tracking area make having an external mouse unnecessary -LRB- unless you 're gaming -RRB- .",external mouse,0,External,0,1,0,0,0,0
28,"However , the multi-touch gestures and large tracking area make having an external mouse unnecessary -LRB- unless you 're gaming -RRB- .",gaming,0,Software,0,0,0,0,0,1
29,I love the way the entire suite of software works together .,suite of software,1,Software,0,0,0,0,0,1
31,This laptop meets every expectation and Windows 7 is great !,Windows 7,1,Software,0,0,0,0,0,1
32,I can barely use any usb devices because they will not stay connected properly .,usb devices,-1,Internal,0,0,1,0,0,0
33,When I finally had everything running with all my software installed I plugged in my droid to recharge and the system crashed .,software,0,Software,0,0,0,0,0,1
34,When I finally had everything running with all my software installed I plugged in my droid to recharge and the system crashed .,system,-1,Internal,0,0,1,0,0,0
37,"I also got the added bonus of a 30"" HD Monitor , which really helps to extend my screen and keep my eyes fresh !","30"" HD Monitor",1,Screen,0,0,0,1,0,0
38,"I also got the added bonus of a 30 '' HD Monitor , which really helps to extend my screen and keep my eyes fresh !",screen,0,Screen,0,0,0,1,0,0
39,The machine is slow to boot up and occasionally crashes completely .,boot up,-1,Software,0,0,0,0,0,1
40,"After paying several hundred dollars for this service , it is frustrating that you can not get help after hours .",service,-1,Service,0,0,0,0,1,0
41,I love the operating system and the preloaded software .,operating system,1,Software,0,0,0,0,0,1
42,I love the operating system and the preloaded software .,preloaded software,1,Software,0,0,0,0,0,1
43,The best thing about this laptop is the price along with some of the newer features .,price,1,Service,0,0,0,0,1,0
44,The best thing about this laptop is the price along with some of the newer features .,features,1,Internal,0,0,1,0,0,0
46,YOU WILL NOT BE ABLE TO TALK TO AN AMERICAN WARRANTY SERVICE IS OUT OF COUNTRY .,WARRANTY SERVICE,-1,Service,0,0,0,0,1,0
48,I sent it back to Toshiba twice they covered it under the warranty .,warranty,1,Service,0,0,0,0,1,0
49,I was looking for a mac which is portable and has all the features that I was looking for .,features,1,Internal,0,0,1,0,0,0
50,Also kinda loud when the fan was running .,fan,-1,External,0,1,0,0,0,0
51,"In desparation , I called their Customer Service number and was told that my warranty had expired -LRB- 2 days old -RRB- and that the priviledge of talking to a technician would cost me -LRB- `` have your credit card ready '' -RRB- .",Customer Service number,0,Service,0,0,0,0,1,0
52,"In desparation , I called their Customer Service number and was told that my warranty had expired -LRB- 2 days old -RRB- and that the priviledge of talking to a technician would cost me -LRB- `` have your credit card ready '' -RRB- .",warranty,-1,Service,0,0,0,0,1,0
53,"In desparation , I called their Customer Service number and was told that my warranty had expired -LRB- 2 days old -RRB- and that the priviledge of talking to a technician would cost me -LRB- `` have your credit card ready '' -RRB- .",talking to a technician,-1,Service,0,0,0,0,1,0
54,There also seemed to be a problem with the hard disc as certain times windows loads but claims to not be able to find any drivers or files .,hard disc,-1,External,0,1,0,0,0,0
55,There also seemed to be a problem with the hard disc as certain times windows loads but claims to not be able to find any drivers or files .,windows,-1,Software,0,0,0,0,0,1
56,There also seemed to be a problem with the hard disc as certain times windows loads but claims to not be able to find any drivers or files .,drivers,0,Internal,0,0,1,0,0,0
57,Drivers updated ok but the BIOS update froze the system up and the computer shut down .,Drivers,1,Internal,0,0,1,0,0,0
58,Drivers updated ok but the BIOS update froze the system up and the computer shut down .,BIOS update,-1,Software,0,0,0,0,0,1
59,Drivers updated ok but the BIOS update froze the system up and the computer shut down .,system,-1,Internal,0,0,1,0,0,0
61,"Speaking of the browser , it too has problems .",browser,-1,Software,0,0,0,0,0,1
62,The keyboard is too slick .,keyboard,-1,External,0,1,0,0,0,0
63,Nightly my computer defrags itself and runs a virus scan .,virus scan,0,Software,0,0,0,0,0,1
65,It 's just as fast with one program open as it is with sixteen open .,program,0,Software,0,0,0,0,0,1
66,"Still under warrenty so called Toshiba , no help at all .",warrenty,-1,Service,0,0,0,0,1,0
68,Amazing Quality !,Quality,1,Service,0,0,0,0,1,0
69,The fact that you can spend over $ 100 on just a webcam underscores the value of this machine .,webcam,0,External,0,1,0,0,0,0
71,"I mainly use it for email , internet , and managing personal files -LRB- pics , vids , etc. -RRB- .",internet,0,Software,0,0,0,0,0,1
73,"A month or so ago , the freaking motherboard just died .",motherboard,-1,Internal,0,0,1,0,0,0
74,"The system it comes with does not work properly , so when trying to fix the problems with it it started not working at all .",system,-1,Internal,0,0,1,0,0,0
75,Then after 4 or so months the charger stopped working so I was forced to go out and buy new hardware just to keep this computer running .,charger,-1,Battery,1,0,0,0,0,0
76,Then after 4 or so months the charger stopped working so I was forced to go out and buy new hardware just to keep this computer running .,hardware,-1,External,0,1,0,0,0,0
79,I also enjoy the fact that my MacBook Pro laptop allows me to run Windows 7 on it by using the VMWare program .,Windows 7,1,Software,0,0,0,0,0,1
80,I also enjoy the fact that my MacBook Pro laptop allows me to run Windows 7 on it by using the VMWare program .,VMWare program,0,Software,0,0,0,0,0,1
81,"It 's so much easier to navigate through the operating system , to find files , and it runs a lot faster !",operating system,1,Software,0,0,0,0,0,1
83,"It 's so much easier to navigate through the operating system , to find files , and it runs a lot faster !",navigate,1,Software,0,0,0,0,0,1
85,Purchased a Toshiba Lap top it worked good until just after the warrenty went out .,warrenty,-1,Service,0,0,0,0,1,0
86,"I wanted to purchase the extended warranty and they refused , because they knew it was trouble .",extended warranty,0,Service,0,0,0,0,1,0
87,We upgraded the memory to four gigabytes in order to take advantage of the performace increase in speed .,memory,0,Internal,0,0,1,0,0,0
91,I had always used PCs and been constantly frustrated by the crashing and the poorly designed operating systems that were never very intuitive .,operating systems,-1,Software,0,0,0,0,0,1
92,"Then , within 5 months , the charger crapped out on me .",charger,-1,Battery,1,0,0,0,0,0
95,I continued to take the computer in AGAIN and they replaced the hard drive and mother board yet again .,hard drive,-1,Internal,0,0,1,0,0,0
96,I continued to take the computer in AGAIN and they replaced the hard drive and mother board yet again .,mother board,-1,Internal,0,0,1,0,0,0
97,I am using the external speaker - sound is good .,external speaker,1,External,0,1,0,0,0,0
98,I am using the external speaker - sound is good .,sound,1,External,0,1,0,0,0,0
99,"still testing the battery life as i thought it would be better , but am very happy with the upgrade .",battery life,-1,Battery,1,0,0,0,0,0
100,"Then HP sends it back to me with the hardware screwed up , not able to connect .",hardware,-1,External,0,1,0,0,0,0
101,"Oh yeah , do n't forget the expensive shipping to and from HP .",shipping,-1,Service,0,0,0,0,1,0
102,"Everything is so easy to use , Mac software is just so much simpler than Microsoft software .",Mac software,1,Software,0,0,0,0,0,1
108,Its ease of use and the top service from Apple - be it their phone assistance or bellying up to the genius bar - can not be beat .,service,1,Service,0,0,0,0,1,0
111,"It has a 10 hour battery life when you 're doing web browsing and word editing , making it perfect for the classroom or office , and in terms of gaming and movie playing it 'll have a battery life of just over 5 hours .",battery life,1,Battery,1,0,0,0,0,0
112,"It has a 10 hour battery life when you 're doing web browsing and word editing , making it perfect for the classroom or office , and in terms of gaming and movie playing it 'll have a battery life of just over 5 hours .",battery life,1,Battery,1,0,0,0,0,0
113,"It has a 10 hour battery life when you 're doing web browsing and word editing , making it perfect for the classroom or office , and in terms of gaming and movie playing it 'll have a battery life of just over 5 hours .",gaming,0,Software,0,0,0,0,0,1
114,"It has a 10 hour battery life when you 're doing web browsing and word editing , making it perfect for the classroom or office , and in terms of gaming and movie playing it 'll have a battery life of just over 5 hours .",movie playing,0,Software,0,0,0,0,0,1
115,"It has a 10 hour battery life when you 're doing web browsing and word editing , making it perfect for the classroom or office , and in terms of gaming and movie playing it 'll have a battery life of just over 5 hours .",web browsing,0,Software,0,0,0,0,0,1
116,"It has a 10 hour battery life when you 're doing web browsing and word editing , making it perfect for the classroom or office , and in terms of gaming and movie playing it 'll have a battery life of just over 5 hours .",word editing,0,Software,0,0,0,0,0,1
120,I eventually did the migration from my iMac backup disc which uses USB .,USB,0,Internal,0,0,1,0,0,0
121,"The battery life seems to be very good , and have had no issues with it .",battery life,1,Battery,1,0,0,0,0,0
122,Enabling the battery timer is useless .,battery timer,-1,Battery,1,0,0,0,0,0
125,Going to bring it to service today .,service,0,Service,0,0,0,0,1,0
127,"But we had paid for bluetooth , and there was none .",bluetooth,-1,Internal,0,0,1,0,0,0
129,"So , I paid a visit to LG notebook service center at Alexandra Road , hoping they can make the hinge tighter .",hinge,-1,Screen,0,0,0,1,0,0
130,"My daughter uses it for games , email , facebook , pictures and music .",games,0,Software,0,0,0,0,0,1
132,After about a week I finally got it back and was told that the motherboard had failed and so they installed a new motherboard .,motherboard,-1,Internal,0,0,1,0,0,0
133,After about a week I finally got it back and was told that the motherboard had failed and so they installed a new motherboard .,motherboard,0,Internal,0,0,1,0,0,0
134,"It was slow , locked up , and also had hardware replaced after only 2 months !",hardware,-1,External,0,1,0,0,0,0
135,they had to replace the motherboard in April,motherboard,-1,Internal,0,0,1,0,0,0
138,"Also , if you need to talk to a representive at Microsoft , there is a charge , which I believe is robbery , since you are charged enormous amounts for a very badly designed system , which most people would have went with XP if they could .",system,-1,Internal,0,0,1,0,0,0
140,I love WIndows 7 which is a vast improvment over Vista .,WIndows 7,1,Software,0,0,0,0,0,1
141,I love WIndows 7 which is a vast improvment over Vista .,Vista,-1,Software,0,0,0,0,0,1
142,"Keyboard is great , very quiet for all the typing that I do .",Keyboard,1,External,0,1,0,0,0,0
144,"It had a cooling system malfunction after 10 minutes of general use , and would not move past this error .",cooling system,-1,External,0,1,0,0,0,0
146,"I can render AVCHD movies with little effort , which was a problem for most pc 's unless you had a quad core I7 .",quad core I7,1,External,0,1,0,0,0,0
147,"After talking it over with the very knowledgeable sales associate , I chose the MacBook Pro over the white MacBook .",sales associate,1,Service,0,0,0,0,1,0
148,"If you really want a bang-up system and do n't need to run Windows applications , go with an Apple ;",system,1,Internal,0,0,1,0,0,0
149,"If you really want a bang-up system and do n't need to run Windows applications , go with an Apple ;",Windows applications,0,Software,0,0,0,0,0,1
150,You wo n't have to spend gobs of money on some inefficient virus program that needs to be updated every month and that constantly drains your wallet .,virus program,-1,Software,0,0,0,0,0,1
153,"2 months later , the battery went .",battery,-1,Battery,1,0,0,0,0,0
155,It 's color is even cool .,color,1,Service,0,0,0,0,1,0
156,keys are all in weird places and is way too large for the way it is designed .,keys,-1,Software,0,0,0,0,0,1
160,The keyboard feels good and I type just fine on it .,keyboard,1,External,0,1,0,0,0,0
161,I thought the white Mac computers looked dirty too quicly where you use the mousepad and where you place your hands when typing .,mousepad,0,External,0,1,0,0,0,0
162,"And not to mention after using it for a few months or so , the battery will slowly less and less hold a charge until you ca n't leave it unplugged for more than 5 minutes without the thing dying .",battery,-1,Battery,1,0,0,0,0,0
163,"BEST BUY - 5 STARS + + + -LRB- sales , service , respect for old men who are n't familiar with the technology -RRB- DELL COMPUTERS - 3 stars DELL SUPPORT - owes a me a couple",sales,1,Service,0,0,0,0,1,0
164,"BEST BUY - 5 STARS + + + -LRB- sales , service , respect for old men who are n't familiar with the technology -RRB- DELL COMPUTERS - 3 stars DELL SUPPORT - owes a me a couple",service,1,Service,0,0,0,0,1,0
166,"no complaints with their desktop , and maybe because it just sits on your desktop , and you do n't carry it around , which could jar the hard drive , or the motherboard .",hard drive,0,Internal,0,0,1,0,0,0
167,"no complaints with their desktop , and maybe because it just sits on your desktop , and you do n't carry it around , which could jar the hard drive , or the motherboard .",motherboard,0,Internal,0,0,1,0,0,0
169,"Yes , they cost more , but they more than make up for it in speed , construction quality , and longevity .",construction quality,1,Service,0,0,0,0,1,0
170,"Yes , they cost more , but they more than make up for it in speed , construction quality , and longevity .",longevity,1,Service,0,0,0,0,1,0
171,"Since I keyboard over 100 wpm , I look for a unit that has a comfortble keyboard -LRB- no keys sticking or lagging , strange configuration of `` extra key '' , etc. .",keyboard,1,External,0,1,0,0,0,0
172,"Since I keyboard over 100 wpm , I look for a unit that has a comfortble keyboard -LRB- no keys sticking or lagging , strange configuration of `` extra key '' , etc. .",keys,1,Software,0,0,0,0,0,1
174,-RRB- I also tried the touch pad and compared it to other netbooks in the store .,touch pad,0,Internal,0,0,1,0,0,0
176,"It absolutely is more expensive than most PC laptops , but the ease of use , security , and minimal problems that have arisen make it well worth the pricetag .",security,1,Software,0,0,0,0,0,1
179,lots of preloaded software .,preloaded software,1,Software,0,0,0,0,0,1
180,"I wish it had a webcam though , then it would be perfect !",webcam,-1,External,0,1,0,0,0,0
181,My favorite part of this computer is that it has a vga port so I can connect it to a bigger screen .,vga port,1,External,0,1,0,0,0,0
182,My favorite part of this computer is that it has a vga port so I can connect it to a bigger screen .,screen,0,Screen,0,0,0,1,0,0
183,Another thing I might add is the battery life is excellent .,battery life,1,Battery,1,0,0,0,0,0
184,"One drawback , I wish the keys were backlit .",keys,-1,Software,0,0,0,0,0,1
185,"Acer was no help and Garmin could not determine the problem -LRB- after spending about 2 hours with me -RRB- , so I returned it and purchased a Toshiba R700 that seems even nicer and I was able to load all of my software with no problem .",software,1,Software,0,0,0,0,0,1
186,I wish the volume could be louder and the mouse didnt break after only a month .,volume,-1,External,0,1,0,0,0,0
187,I wish the volume could be louder and the mouse didnt break after only a month .,mouse,-1,External,0,1,0,0,0,0
188,"I play a lot of casual games online , and the touchpad is very responsive .",touchpad,1,Internal,0,0,1,0,0,0
189,"Granted , it 's still a very new laptop but in comparison to my previous laptops and desktops , my Mac boots up noticeably quicker .",boots up,1,Software,0,0,0,0,0,1
190,It caught a virus that completely wiped out my hard drive in a matter of hours .,hard drive,-1,Internal,0,0,1,0,0,0
192,the only fact i dont like about apples is they generally use safari and i dont use safari but after i install Mozzilla firfox i love every single bit about it .,safari,-1,Software,0,0,0,0,0,1
193,the only fact i dont like about apples is they generally use safari and i dont use safari but after i install Mozzilla firfox i love every single bit about it .,safari,-1,Software,0,0,0,0,0,1
194,the only fact i dont like about apples is they generally use safari and i dont use safari but after i install Mozzilla firfox i love every single bit about it .,Mozzilla firfox,1,Software,0,0,0,0,0,1
195,"The Bluetooth was not there at all , and the fingerprint reader driver would be there , but the software would hang after installation was 1/2 way done .",Bluetooth,-1,Internal,0,0,1,0,0,0
196,"The Bluetooth was not there at all , and the fingerprint reader driver would be there , but the software would hang after installation was 1/2 way done .",fingerprint reader driver,-1,External,0,1,0,0,0,0
197,"The Bluetooth was not there at all , and the fingerprint reader driver would be there , but the software would hang after installation was 1/2 way done .",software,-1,Software,0,0,0,0,0,1
198,"Great battery , speed , display .",battery,1,Battery,1,0,0,0,0,0
200,"Great battery , speed , display .",display,1,Screen,0,0,0,1,0,0
201,"The delivery was fast , and I would not hesitate to purchase this laptop again .",delivery,1,Service,0,0,0,0,1,0
202,I 've been impressed with the battery life and the performance for such a small amount of memory .,battery life,1,Battery,1,0,0,0,0,0
203,I 've been impressed with the battery life and the performance for such a small amount of memory .,performance,1,Software,0,0,0,0,0,1
204,I 've been impressed with the battery life and the performance for such a small amount of memory .,memory,-1,Internal,0,0,1,0,0,0
205,"It 's applications are terrific , including the replacements for Microsoft office .",applications,1,Software,0,0,0,0,0,1
207,"they improved nothing else such as Resolution , appearance , cooling system , graphics card , etc. .",Resolution,-1,Screen,0,0,0,1,0,0
208,"they improved nothing else such as Resolution , appearance , cooling system , graphics card , etc. .",appearance,-1,External,0,1,0,0,0,0
209,"they improved nothing else such as Resolution , appearance , cooling system , graphics card , etc. .",cooling system,-1,External,0,1,0,0,0,0
210,"they improved nothing else such as Resolution , appearance , cooling system , graphics card , etc. .",graphics card,-1,Internal,0,0,1,0,0,0
211,"I got it back and my built-in webcam and built-in mic were shorting out anytime I touched the lid , -LRB- mind you this was my means of communication with my fiance who was deployed -RRB- but I suffered thru it and would constandly have to reset the computer to be able to use my cam and mic anytime they went out .",built-in webcam,-1,Internal,0,0,1,0,0,0
212,"I got it back and my built-in webcam and built-in mic were shorting out anytime I touched the lid , -LRB- mind you this was my means of communication with my fiance who was deployed -RRB- but I suffered thru it and would constandly have to reset the computer to be able to use my cam and mic anytime they went out .",built-in mic,-1,Internal,0,0,1,0,0,0
213,"I got it back and my built-in webcam and built-in mic were shorting out anytime I touched the lid , -LRB- mind you this was my means of communication with my fiance who was deployed -RRB- but I suffered thru it and would constandly have to reset the computer to be able to use my cam and mic anytime they went out .",cam,-1,External,0,1,0,0,0,0
214,"I got it back and my built-in webcam and built-in mic were shorting out anytime I touched the lid , -LRB- mind you this was my means of communication with my fiance who was deployed -RRB- but I suffered thru it and would constandly have to reset the computer to be able to use my cam and mic anytime they went out .",mic,-1,External,0,1,0,0,0,0
215,Is this partially due to the fact that it is running Windows Vista ?,Windows Vista,0,Software,0,0,0,0,0,1
217,The board has a bad connector with the power supply and shortly after warrenty expires the power supply will start having issues .,connector,-1,Internal,0,0,1,0,0,0
218,The board has a bad connector with the power supply and shortly after warrenty expires the power supply will start having issues .,power supply,-1,Battery,1,0,0,0,0,0
219,The board has a bad connector with the power supply and shortly after warrenty expires the power supply will start having issues .,warrenty,-1,Service,0,0,0,0,1,0
220,The board has a bad connector with the power supply and shortly after warrenty expires the power supply will start having issues .,power supply,-1,Battery,1,0,0,0,0,0
224,"oh yeah , and if the fancy webcam breaks guess who you have to send it to to get it fixed ?",webcam,-1,External,0,1,0,0,0,0
226,"Of course , I also have several great software packages that came for free including iWork , GarageBand , and iMovie .",software packages,1,Software,0,0,0,0,0,1
230,The screen is very large and crystal clear with amazing colors and resolution .,screen,1,Screen,0,0,0,1,0,0
232,The screen is very large and crystal clear with amazing colors and resolution .,resolution,1,Screen,0,0,0,1,0,0
233,"After a little more than a year of owning my MacBook Pro , the monitor has completely died .",monitor,-1,External,0,1,0,0,0,0
235,"Size : I know 13 is small -LRB- especially for a desktop replacement -RRB- but with an external monitor , who cares .",Size,-1,Screen,0,0,0,1,0,0
238,Additional caveat : the base installation comes with some Toshiba-specific software that may or may not be to a user 's liking .,software,-1,Software,0,0,0,0,0,1
240,"The display is incredibly bright , much brighter than my PowerBook and very crisp .",display,1,Screen,0,0,0,1,0,0
243,After that the said it was under warranty .,warranty,0,Service,0,0,0,0,1,0
244,The start menu is not the easiest thing to navigate due to the stacking .,start menu,-1,Software,0,0,0,0,0,1
245,The start menu is not the easiest thing to navigate due to the stacking .,navigate,-1,Software,0,0,0,0,0,1
246,Only thing I would want to add to this is an internal bluray read/write drive .,bluray read/write drive,-1,External,0,1,0,0,0,0
247,The service tech said he had tried to duplicate the damage and was n't able to recreate it therefore it had to be their defect .,service tech,-1,Service,0,0,0,0,1,0
250,The screen is bright and the keyboard is nice ;,screen,1,Screen,0,0,0,1,0,0
251,The screen is bright and the keyboard is nice ;,keyboard,1,External,0,1,0,0,0,0
256,"I had static in the output , and I had to reduce the sound output quality to `` FM '' as opposed to the default `` CD .",sound output quality,-1,External,0,1,0,0,0,0
260,They also have a longer service life than other computers -LRB- I have several friends who still use the older Apple PowerBooks -RRB- .,service life,1,Service,0,0,0,0,1,0
261,If you check you will find the same notebook with the above missing ports and a dual core AMD or Intel processor .,ports,0,External,0,1,0,0,0,0
262,If you check you will find the same notebook with the above missing ports and a dual core AMD or Intel processor .,processor,0,Internal,0,0,1,0,0,0
263,This laptop is a great price and has a sleek look .,price,1,Service,0,0,0,0,1,0
264,This laptop is a great price and has a sleek look .,look,1,External,0,1,0,0,0,0
265,I especially like the keyboard which has chiclet type keys .,keyboard,1,External,0,1,0,0,0,0
266,I especially like the keyboard which has chiclet type keys .,keys,1,Software,0,0,0,0,0,1
267,Runs Hot I thought we were paying for quality in our decision to buy an Apple product .,quality,-1,Service,0,0,0,0,1,0
268,"For the not so good , I got the stock screen - which is VERY glossy .",stock screen,-1,Screen,0,0,0,1,0,0
270,I would like to have volume buttons rather than the adjustment that is on the front .,volume buttons,-1,External,0,1,0,0,0,0
271,The processor a AMD Semprom at 2.1 ghz is a bummer it does not have the power for HD or heavy computing .,processor,-1,Internal,0,0,1,0,0,0
272,The processor a AMD Semprom at 2.1 ghz is a bummer it does not have the power for HD or heavy computing .,computing,-1,Internal,0,0,1,0,0,0
274,I bought a protector for my key pad and it works great : -RRB-,key pad,1,Internal,0,0,1,0,0,0
277,It seems they could have updated XP and done without creating Vista .,Vista,-1,Software,0,0,0,0,0,1
278,"It is easy to use , fast and has great graphics for the money .",graphics,1,Internal,0,0,1,0,0,0
282,"While Apple 's saving grace is the fact that they at least stand behind their products , and their support is great , it would be nice if their products were more reliable to justify the premium .",support,1,Service,0,0,0,0,1,0
284,only good thing is the graphics quality .,graphics quality,1,Internal,0,0,1,0,0,0
286,"The other lock-up problems are from a myriad of causes , the most common being a corrupted version of Appleworks which can render the browser useless .",browser,-1,Software,0,0,0,0,0,1
287,The paint wears off easily due to the keyboard being farther back than usual .,paint,-1,Software,0,0,0,0,0,1
288,The paint wears off easily due to the keyboard being farther back than usual .,keyboard,-1,External,0,1,0,0,0,0
289,I had purchased it from a major electronics store and took it to their service department to find out what the problem was .,service department,0,Service,0,0,0,0,1,0
290,The store honored their warrenty and made the comment that they do n't even recommend the HP brand because of the problems with their warrentys .,warrenty,1,Service,0,0,0,0,1,0
291,The store honored their warrenty and made the comment that they do n't even recommend the HP brand because of the problems with their warrentys .,warrentys,-1,Service,0,0,0,0,1,0
292,I always use a backup hard disk to store important files at all times .,hard disk,0,External,0,1,0,0,0,0
293,"They sent out the box right away for me to send in my computer , they paid postage and whatnot , but when I got my computer back it still was n't running right , and now my CD drive was n't reading anything !",CD drive,-1,External,0,1,0,0,0,0
295,But the screen size is not that bad for email and web browsing .,screen size,1,Screen,0,0,0,1,0,0
296,But the screen size is not that bad for email and web browsing .,web browsing,0,Software,0,0,0,0,0,1
297,Once I removed all the software the laptop loads in 15-20 seconds .,software,-1,Software,0,0,0,0,0,1
299,On my PowerBook G4 I would never use the trackpad I would use an external mouse because I did n't like the trackpad .,trackpad,-1,External,0,1,0,0,0,0
300,On my PowerBook G4 I would never use the trackpad I would use an external mouse because I did n't like the trackpad .,external mouse,0,External,0,1,0,0,0,0
301,On my PowerBook G4 I would never use the trackpad I would use an external mouse because I did n't like the trackpad .,trackpad,-1,External,0,1,0,0,0,0
302,This computer does n't do that well with certain games it ca n't play some and it becomes too hot while playing games .,games,-1,Software,0,0,0,0,0,1
303,Obviously one of the most important features of any computer is the `` human interface .,features,0,Internal,0,0,1,0,0,0
305,"Yeah , of course smarty pants `` fix it now '' -RRB- Software - Compared to the early 2011 edition I did see inbuilt applications crashing and it prompted me to send the report to Apple -LRB- which I promptly did -RRB- .",inbuilt applications,-1,Software,0,0,0,0,0,1
306,"Yeah , of course smarty pants `` fix it now '' -RRB- Software - Compared to the early 2011 edition I did see inbuilt applications crashing and it prompted me to send the report to Apple -LRB- which I promptly did -RRB- .",Software,-1,Software,0,0,0,0,0,1
307,The body is a bit cheaply made so it will be interesting to see how long it holds up .,body,-1,External,0,1,0,0,0,0
308,The i5 blows my desktop out of the water when it comes to rendering videos .,i5,-1,Internal,0,0,1,0,0,0
309,"With a mac you do n't have to worry about antivirus software or firewall , it 's so wonderful .",antivirus software,0,Software,0,0,0,0,0,1
310,"With a mac you do n't have to worry about antivirus software or firewall , it 's so wonderful .",firewall,0,Software,0,0,0,0,0,1
311,"Am very glad I bought it , great netbook , low price .",price,1,Service,0,0,0,0,1,0
313,"I think part of the problem with this computer is Vista , yet I know Vista is n't the entire issue because my latest purchase was my Acer and it also has Vista -LRB- I should have waited the few months to get the next operating system -RRB- .",Vista,-1,Software,0,0,0,0,0,1
314,"I think part of the problem with this computer is Vista , yet I know Vista is n't the entire issue because my latest purchase was my Acer and it also has Vista -LRB- I should have waited the few months to get the next operating system -RRB- .",Vista,-1,Software,0,0,0,0,0,1
315,"I think part of the problem with this computer is Vista , yet I know Vista is n't the entire issue because my latest purchase was my Acer and it also has Vista -LRB- I should have waited the few months to get the next operating system -RRB- .",operating system,0,Software,0,0,0,0,0,1
316,"I think part of the problem with this computer is Vista , yet I know Vista is n't the entire issue because my latest purchase was my Acer and it also has Vista -LRB- I should have waited the few months to get the next operating system -RRB- .",Vista,-1,Software,0,0,0,0,0,1
317,The video chat is the only thing that is iffy about it but im sure once they unpdate the next version on the macbook book the quality of it will be better .,video chat,-1,Software,0,0,0,0,0,1
318,That whole experience was just ridiculous we sent it in and after they told us that we had to pay $ 175 to fix it we were like we will just by a portable mouse which would be way cheaper but they refused to send the laptop back until we paid the $ 175 and it was fixed .,mouse,1,External,0,1,0,0,0,0
319,"Fan vents to the side , so no cooling pad needed , great feature !",Fan,1,External,0,1,0,0,0,0
320,"Fan vents to the side , so no cooling pad needed , great feature !",cooling pad,0,External,0,1,0,0,0,0
